% S&P 500 return data obtained from the CRSP Index File on the S&P 500 via WRDS. Monthly 
% data are annualized by compounding over the course of the year. Raw annual 
% bond data are averages of 20-year and 30-year T-bond returns obtained from US Treasury 
% and Inflation Indexes via WRDS.

1942	0.2081	0.032212
1943	0.2665	0.020829
1944	0.2104	0.028147
1945	0.3623	0.10734
1946	-0.0879	-0.00104
1947	0.0491	-0.026261
1948	0.0526	0.033975
1949	0.1806	0.064482
1950	0.3295	0.000569
1951	0.2342	-0.039351
1952	0.1894	0.011563
1953	-0.0171	0.036339
1954	0.5265	0.071852
1955	0.313	-0.00694
1956	0.0643	-0.062722
1957	-0.1085	0.082192
1958	0.4381	-0.060061
1959	0.1235	-0.037055
1960	0.0053	0.1390245
1961	0.2709	-0.002895
1962	-0.0876	0.082232
1963	0.2269	-0.009468
1964	0.1668	0.043603
1965	0.1261	0.0021365
1966	-0.102	0.045227
1967	0.2396	-0.057149
1968	0.1083	-0.011733
1969	-0.0832	-0.064385
1970	0.0399	0.124975
1971	0.1445	0.1764045
1972	0.1912	0.04939
1973	-0.148	-0.024003
1974	-0.2643	0.020466
1975	0.3696	0.079063
1976	0.2392	0.1794435
1977	-0.0743	0.0021555
1978	0.0641	-0.0171475
1979	0.1859	-0.011946
1980	0.3259	-0.032683
1981	-0.0486	0.0102305
1982	0.2214	0.397441
1983	0.2229	0.012768
1984	0.0669	0.158055
1985	0.3198	0.3323255
1986	0.1807	0.253544
1987	0.0516	-0.052555
1988	0.1696	0.081789
1989	0.3137	0.1984465
1990	-0.0319	0.0550735
1991	0.3067	0.1798985
1992	0.0772	0.0738655
1993	0.0989	0.1754965
1994	0.0136	-0.095854
1995	0.3766	0.319744
1996	0.2322	-0.0243725
1997	0.3361	0.1555925
1998	0.293	0.1506375
1999	0.2135	-0.1177375
2000	-0.0835	0.205036
2001	-0.119	0.037286
2002	-0.2178	0.1680215
2003	0.287	0.015625
2004	0.1098	0.084913
2005	0.0522	0.0829595
2006	0.1567	-0.000377
2007	0.0575	0.0999475
2008	-0.3646	0.336425
2009	0.2648	-0.199766
2010	0.1536	0.0921555
